name,addr:city,addr:street,website,opening_hours,fhrs:rating,@lat,@lon,@user
,,,,,,51.5106031,-0.1371468,Paul The Archivist
,,,,,,51.515961,-0.1429173,Mikhail1412
,,,,,,51.5129661,-0.1237752,Derick Rethans
,,,,,,51.5128831,-0.1236697,Paul The Archivist
,,,,,,51.5129925,-0.123469,Paul The Archivist
,,,,,,51.5130615,-0.123579,Paul The Archivist
,,,,,,51.5117561,-0.1280549,Derick Rethans
,,,,,,51.5117594,-0.1282252,Derick Rethans
,,,,,,51.5095278,-0.12649,_yog
,,,,,,51.5095194,-0.1267955,Derick Rethans
,,,,,,51.5095303,-0.1268308,Derick Rethans
,,,,,,51.5111993,-0.1255783,Derick Rethans
,,,,,,51.5112204,-0.125513,Derick Rethans
,,,,,,51.5112423,-0.125455,Derick Rethans
,,,,,,51.5112752,-0.1254357,Derick Rethans
,,,,,,51.5113014,-0.1254409,Derick Rethans
,,,,,,51.511331,-0.125499,Derick Rethans
,,,,,,51.5116987,-0.1255442,Mikhail1412
,,,,,,51.5117694,-0.1256346,Mikhail1412
,,,,,,51.5117816,-0.1255801,Mikhail1412
,,,,,,51.5118128,-0.1256472,Mikhail1412
,,,,,,51.5143916,-0.1249072,Paul The Archivist
,,,,,,51.5144345,-0.1249527,Paul The Archivist
,,,,,,51.51446,-0.1247784,Paul The Archivist
,,,,,,51.5145099,-0.1246814,Paul The Archivist
,,,,,,51.5107649,-0.1353932,Mikhail1412
,,,,,,51.5095893,-0.1268028,Derick Rethans
,,,,,,51.5108838,-0.1272976,_yog
,,,,,,51.5109045,-0.1271015,Derick Rethans
,,,,,,51.5109559,-0.1271164,Derick Rethans
,,,,,,51.5109581,-0.1273101,Derick Rethans
,,,,,,51.5109716,-0.1271515,Derick Rethans
,,,,,,51.5161455,-0.1241914,Paul The Archivist
,,,,,,51.5162273,-0.1240581,Paul The Archivist
,,,,,,51.5154349,-0.1277445,BCNorwich
,,,,,,51.5154383,-0.1278894,BCNorwich
,,,,,,51.5155264,-0.1278851,JozefM
,,,,,,51.5126051,-0.1365779,Paul The Archivist
,,,,,,51.5126307,-0.1364964,Paul The Archivist
,,,,,,51.5126895,-0.1366457,Paul The Archivist
,,,,,,51.5117873,-0.1346872,Mikhail1412
,,,,,,51.5118272,-0.1345944,Mikhail1412
,,,,,,51.5118599,-0.1345856,Mikhail1412
,,,,,,51.5118477,-0.1346159,Mikhail1412
,,,,,,51.5118611,-0.1347756,Mikhail1412
,,,,,,51.5119299,-0.1346604,Mikhail1412
,,,,,,51.5137836,-0.1350059,Mikhail1412
,,,,,,51.5138205,-0.1348966,Mikhail1412
,,,,,,51.5138267,-0.1349013,Mikhail1412
,,,,,,51.5138579,-0.1350533,Mikhail1412
,,,,,,51.5138913,-0.134954,Mikhail1412
,,,,,,51.5133325,-0.1298232,Paul The Archivist
,,,,,,51.5133875,-0.1296764,Derick Rethans
,,,,,,51.5133935,-0.1298664,Derick Rethans
,,,,,,51.5134972,-0.1294821,yourealwaysbe
,,,,,,51.5135039,-0.1295698,yourealwaysbe
,,,,,,51.5135787,-0.1295376,Derick Rethans
,,,,,,51.5135802,-0.129561,Derick Rethans
,,,,,,51.5135953,-0.1295368,Derick Rethans
,,,,,,51.5135958,-0.129561,Derick Rethans
,,,,,,51.513629,-0.1295634,Derick Rethans
,,,,,,51.5136325,-0.129456,Derick Rethans
,,,,,,51.5136179,-0.1295626,Derick Rethans
,,,,,,51.5138833,-0.1302626,Mikhail1412
,,,,,,51.5138965,-0.1301921,Mikhail1412
,,,,,,51.5122525,-0.1331583,Mikhail1412
,,,,,,51.5123031,-0.1332297,Mikhail1412
,,,,,,51.5123297,-0.1330254,Mikhail1412
,,,,,,51.5123414,-0.1331487,Mikhail1412
,,,,,,51.5123519,-0.1331648,Mikhail1412
,,,,,,51.5123823,-0.1330819,Mikhail1412
,,,,,,51.5129347,-0.1323324,Mikhail1412
,,,,,,51.5129761,-0.1323637,Mikhail1412
,,,,,,51.5129449,-0.1322566,Mikhail1412
,,,,,,51.5140086,-0.1342329,Paul The Archivist
,,,,,,51.5140095,-0.134264,Paul The Archivist
,,,,,,51.514055,-0.134086,Paul The Archivist
,,,,,,51.5140845,-0.1341626,Mikhail1412
,,,,,,51.514099,-0.1341186,Paul The Archivist
,,,,,,51.5109508,-0.1269105,Derick Rethans
,,,,,,51.5109645,-0.1267735,Derick Rethans
,,,,,,51.5109688,-0.1267363,Derick Rethans
,,,,,,51.5104351,-0.1279482,Derick Rethans
,,,,,,51.5104035,-0.1280021,Derick Rethans
,,,,,,51.5102794,-0.1279348,_yog
,,,,,,51.5103918,-0.1281684,Derick Rethans
,,,,,,51.5104352,-0.1280021,Derick Rethans
,,,,,,51.5103996,-0.1280575,Derick Rethans
,,,,,,51.5107363,-0.1323558,Mikhail1412
,,,,,,51.5108606,-0.1285282,Mikhail1412
,,,,,,51.5113528,-0.1255681,Derick Rethans
,,,,,,51.5127231,-0.1239302,Paul The Archivist
